SHA:
CMD:go test -race -p 1 -count=1 ./...
GO:go version go1.26.5 linux/amd64
START:2026-08-27T22:30:38+08:00
ok  	go.idp.xyz/idp-parcel/cmd/parcel-api	3.845s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-commercial	1.657s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-customs-register	1.323s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-dispatch	21.863s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-governance-register	1.287s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-network-register	1.012s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-pricing-register	1.012s
ok  	go.idp.xyz/idp-parcel/cmd/parcel-ve-register	1.665s
ok  	go.idp.xyz/idp-parcel/internal/architecture	20.177s
ok  	go.idp.xyz/idp-parcel/internal/customscompliance/adapters/http	1.019s
ok  	go.idp.xyz/idp-parcel/internal/customscompliance/adapters/identity	1.014s
ok  	go.idp.xyz/idp-parcel/internal/customscompliance/adapters/postgres	49.658s
ok  	go.idp.xyz/idp-parcel/internal/customscompliance/application	1.014s
ok  	go.idp.xyz/idp-parcel/internal/customscompliance/domain	1.011s
?   	go.idp.xyz/idp-parcel/internal/customscompliance/ports	[no test files]
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/adapters/http	1.012s
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/adapters/inbox	5.048s
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/adapters/parcelshipment	1.015s
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/adapters/partycommercial	1.012s
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/adapters/postgres	16.065s
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/application	1.014s
ok  	go.idp.xyz/idp-parcel/internal/networkrouting/domain	1.012s
?   	go.idp.xyz/idp-parcel/internal/networkrouting/ports	[no test files]
ok  	go.idp.xyz/idp-parcel/internal/nodeoperations/adapters/http	1.014s
ok  	go.idp.xyz/idp-parcel/internal/nodeoperations/adapters/identity	1.010s
ok  	go.idp.xyz/idp-parcel/internal/nodeoperations/adapters/postgres	12.258s
